Time,AvgFPS,1%low
0,0,0
0.01999999,0,0
0.0570926,0,0
0.07241365,0,0
0.08106404,0,0
0.09223093,0,0
0.09945551,0,0
0.1072936,0,0
0.114622,0,0
0.1230284,0,0
0.1321298,0,0
0.1391698,0,0
0.1471269,0,0
0.1555873,0,0
0.1641049,0,0
0.1723876,0,0
0.1801219,0,0
0.1900518,0,0
0.1995435,0,0
0.2073387,0,0
0.2154162,0,0
0.2236333,0,0
0.2315708,0,0
0.2399972,0,0
0.2473368,0,0
0.2560429,0,0
0.2633608,0,0
0.2712069,0,0
0.2788858,0,0
0.2861336,0,0
0.2945609,0,0
0.3020698,0,0
0.3104751,0,0
0.3175381,0,0
0.3255542,0,0
0.3346372,0,0
0.3419781,0,0
0.3493506,0,0
0.3569386,0,0
0.364519,0,0
0.3724136,0,0
0.380928,0,0
0.3884921,0,0
0.3960504,0,0
0.4039241,0,0
0.4118375,0,0
0.419112,0,0
0.4271763,0,0
0.435877,0,0
0.4438062,0,0
0.4523501,0,0
0.4613357,0,0
0.4722372,0,0
0.4800146,0,0
0.4876145,0,0
0.4955405,0,0
0.5031586,0,0
0.5107344,0,0
0.5184529,0,0
0.5261173,0,0
0.5352899,0,0
0.5426075,0,0
0.5505404,0,0
0.5581391,0,0
0.5658899,0,0
0.5742747,0,0
0.5823106,0,0
0.5914315,0,0
0.5993418,0,0
0.6071147,0,0
0.6153017,0,0
0.6243598,0,0
0.6329054,0,0
0.6407655,0,0
0.6497259,0,0
0.6583009,0,0
0.6663829,0,0
0.6749397,0,0
0.68265,0,0
0.6907291,0,0
0.6988457,0,0
0.7062919,0,0
0.7144994,0,0
0.72232,0,0
0.7304572,0,0
0.7378327,0,0
0.7458816,0,0
0.7553431,0,0
0.7633978,0,0
0.7716682,0,0
0.7797154,0,0
0.7875558,0,0
0.7995485,0,0
0.8088886,0,0
0.8205132,0,0
0.8309582,0,0
0.8402035,0,0
0.8491399,0,0
0.8576339,0,0
0.8658267,0,0
0.8751184,0,0
0.8827938,0,0
0.892198,0,0
0.9003673,0,0
0.9089537,0,0
0.917015,0,0
0.926725,0,0
0.9358326,0,0
0.9445707,0,0
0.9537195,0,0
0.9618388,0,0
0.9714094,0,0
0.9794276,0,0
0.9879596,0,0
0.9969156,0,0
1.004922,0,0
1.013414,0,0
1.021728,0,0
1.031206,0,0
1.039896,0,0
1.048352,0,0
1.05771,0,0
1.066476,0,0
1.078217,0,0
1.089639,0,0
1.103338,0,0
1.114385,0,0
1.12521,0,0
1.134217,0,0
1.142998,0,0
1.15215,0,0
1.160788,0,0
1.169274,0,0
1.177332,0,0
1.18535,0,0
1.194248,0,0
1.202951,0,0
1.211817,0,0
1.220407,0,0
1.229745,0,0
1.239566,0,0
1.247826,0,0
1.257345,0,0
1.265421,0,0
1.273667,0,0
1.281641,0,0
1.290258,0,0
1.298305,0,0
1.306604,0,0
1.315722,0,0
1.324322,0,0
1.332883,0,0
1.341831,0,0
1.351194,0,0
1.360659,0,0
1.370369,0,0
1.378141,0,0
1.386143,0,0
1.394921,0,0
1.402993,0,0
1.411631,0,0
1.41989,0,0
1.42759,0,0
1.43563,0,0
1.443758,0,0
1.452725,0,0
1.461955,0,0
1.470167,0,0
1.479791,0,0
1.488224,0,0
1.496976,0,0
1.50454,0,0
1.51293,0,0
1.520936,0,0
1.530361,0,0
1.539847,0,0
1.550887,0,0
1.559681,0,0
1.567722,0,0
1.576248,0,0
1.584786,0,0
1.594099,0,0
1.602046,0,0
1.610729,0,0
1.618821,0,0
1.627086,0,0
1.635597,0,0
1.643316,0,0
1.65364,0,0
1.661815,0,0
1.670321,0,0
1.678299,0,0
1.686799,0,0
1.69559,0,0
1.703419,0,0
1.711726,0,0
1.719814,0,0
1.72776,0,0
1.736129,0,0
1.743934,0,0
1.752756,0,0
1.763538,0,0
1.772744,0,0
1.781566,0,0
1.790536,0,0
1.799083,0,0
1.806938,0,0
1.816583,0,0
1.824546,0,0
1.833168,0,0
1.841091,0,0
1.849597,0,0
1.857154,0,0
1.864805,0,0
1.873631,0,0
1.882166,0,0
1.890447,0,0
1.897699,0,0
1.905321,0,0
1.913233,0,0
1.925463,0,0
1.936125,0,0
1.944389,0,0
1.953005,0,0
1.961202,0,0
1.969921,0,0
1.977714,0,0
1.985484,0,0
1.994331,0,0
2.001563,0,0
2.009587,0,0
2.017266,0,0
2.025038,0,0
2.033087,0,0
2.04097,0,0
2.049597,0,0
2.057349,0,0
2.065277,0,0
2.07444,0,0
2.082194,0,0
2.091311,0,0
2.098755,0,0
2.106889,0,0
2.115787,0,0
2.123424,0,0
2.132205,0,0
2.139758,0,0
2.147858,0,0
2.156187,0,0
2.163707,0,0
2.171161,0,0
2.179115,0,0
2.186563,0,0
2.194221,0,0
2.201782,0,0
2.21023,0,0
2.218406,0,0
2.226047,0,0
2.234403,0,0
2.2425,0,0
2.250942,0,0
2.258232,0,0
2.265857,0,0
2.281308,0,0
2.289517,0,0
2.297283,0,0
2.305905,0,0
2.315206,0,0
2.32291,0,0
2.33178,0,0
2.339412,0,0
2.347967,0,0
2.356687,0,0
2.364671,0,0
2.374031,0,0
2.38259,0,0
2.3912,0,0
2.399666,0,0
2.408203,0,0
2.416975,0,0
2.425918,0,0
2.436063,0,0
2.444744,0,0
2.453828,0,0
2.461359,0,0
2.470296,0,0
2.478581,0,0
2.486969,0,0
2.495479,0,0
2.503791,0,0
2.512951,0,0
