Time,AvgFPS,1%low
0,0,0,0
0.01999999,1,0,0
0.06268986,23,0,2
0.09102238,35,6,5
0.1115506,49,11,10
0.133752,45,18,15
0.1539763,49,21,20
0.1758734,46,25,24
0.1938777,56,27,30
0.2134249,51,30,35
0.2324566,53,32,35
0.2488561,61,34,35
0.2647789,63,36,35
0.2833557,54,38,35
0.303023,51,39,35
0.3217984,53,39,35
0.3399809,55,40,35
0.3584743,54,41,35
0.374698,62,42,35
0.3937628,52,43,35
0.4100758,61,43,35
0.4301575,50,44,34
0.4471033,59,44,34
0.4631748,62,45,34
0.4792031,62,45,34
0.4941305,67,46,34
0.5114017,58,47,34
0.5342438,44,47,34
0.5514534,58,47,34
0.5684585,59,47,34
0.5854389,59,48,34
0.6028063,58,48,34
0.6193818,60,48,34
0.6359252,60,49,34
0.6535919,57,49,34
0.6703991,59,49,34
0.6878344,57,49,34
0.7062903,54,50,34
0.7231928,59,50,34
0.7406457,57,50,34
0.7583212,57,50,34
0.7757798,57,50,34
0.7919669,62,50,34
0.8073648,65,51,34
0.8236339,61,51,34
0.8390044,65,51,34
0.8532941,70,51,34
0.868468,66,52,34
0.8846421,62,52,34
0.9008631,62,52,34
0.9170588,62,52,34
0.9301965,76,53,34
0.9463114,62,53,34
0.9626072,61,53,34
0.9793454,60,53,34
0.9930891,73,53,34
1.008574,65,54,34
1.023331,68,54,34
1.043973,48,54,34
1.059908,63,54,34
1.075382,65,54,34
1.095545,50,54,34
1.113862,55,54,34
1.12999,62,54,34
1.145966,63,54,34
1.160832,67,55,34
1.179112,55,55,34
1.193305,70,55,34
1.210438,58,55,34
1.226126,64,55,34
1.244038,56,55,34
1.260107,62,55,34
1.27512,67,55,34
1.288759,73,55,34
1.304621,63,56,34
1.320271,64,56,34
1.33556,65,56,34
1.35015,69,56,34
1.366678,61,56,34
1.381328,68,56,34
1.397406,62,56,34
1.410943,74,56,34
1.426426,65,57,34
1.441314,67,57,34
1.457657,61,57,34
1.470829,76,57,34
1.487376,60,57,34
1.503093,64,57,34
1.518859,63,57,34
1.533569,68,57,34
1.556266,44,57,33
1.572329,62,57,33
1.588791,61,57,33
1.605422,60,57,33
1.621388,63,57,33
1.638854,57,57,33
1.653196,70,57,33
1.669439,62,57,33
1.686713,58,57,33
1.703019,61,57,33
1.719658,60,57,33
1.734872,66,57,33
1.750839,63,58,33
1.766601,63,58,33
1.783551,59,58,33
1.802426,53,58,33
1.81859,62,58,33
1.833803,66,58,33
1.850197,61,58,33
1.866508,61,58,33
1.881727,66,58,33
1.898373,60,58,33
1.911867,74,58,33
1.928583,60,58,33
1.944281,64,58,33
1.960485,62,58,33
1.975724,66,58,33
1.98945,73,58,33
2.005941,61,58,33
2.022018,62,58,33
2.038548,60,58,33
2.057219,54,58,33
2.072753,64,58,33
2.089107,61,58,33
2.104936,63,58,33
2.120408,65,58,33
2.135882,65,58,33
2.149734,72,58,33
2.167226,57,59,33
2.183666,61,59,33
2.200204,60,59,33
2.21623,62,59,33
2.230098,72,59,33
2.246181,62,59,33
2.26142,66,59,33
2.278206,60,59,33
2.292125,72,59,33
2.30957,57,59,33
2.325063,65,59,33
2.34157,61,59,33
2.356866,65,59,33
2.372284,65,59,33
2.388402,62,59,33
2.404488,62,59,33
2.420766,61,59,33
2.438777,56,59,33
2.453105,70,59,33
2.469117,62,59,33
2.48514,62,59,33
2.501176,62,59,33
2.517019,63,59,33
2.531763,68,59,33
2.548062,61,59,33
2.569314,47,59,33
2.584826,64,59,33
2.600317,65,59,33
2.616734,61,59,33
2.630125,75,59,33
2.646834,60,59,33
2.663095,61,59,33
2.679329,62,59,33
2.695196,63,59,33
2.710686,65,59,33
2.727766,59,59,33
2.742847,66,59,33
2.75871,63,59,33
2.772165,74,59,33
2.788516,61,59,33
2.804974,61,59,33
2.820776,63,60,33
2.836494,64,60,33
2.850096,74,60,33
2.866163,62,60,33
2.881405,66,60,33
2.897548,62,60,33
2.912445,67,60,33
2.929001,60,60,33
2.945676,60,60,33
2.961734,62,60,33
2.979095,58,60,33
2.994613,64,60,33
3.01018,64,60,33
3.026461,61,60,33
3.042871,61,60,33
3.060236,58,60,33
3.081563,47,60,33
3.097483,63,60,33
3.111866,70,60,33
3.12899,58,60,33
3.145141,62,60,33
3.161783,60,60,33
3.179926,55,60,33
3.194307,70,60,33
3.211017,60,60,33
3.228689,57,60,33
3.245446,60,60,33
3.261635,62,60,33
3.277308,64,60,33
3.291373,71,60,33
3.307182,63,60,33
3.323596,61,60,33
3.34003,61,60,33
3.35773,56,60,33
3.372229,69,60,33
3.389335,58,60,33
3.405202,63,60,33
3.423245,55,60,33
3.439866,60,60,33
3.455806,63,60,33
3.472795,59,60,33
3.490062,58,60,33
3.507454,57,60,33
3.524316,59,60,33
3.545003,48,60,33
3.569054,42,60,32
3.594956,39,60,31
3.611877,59,60,31
3.62823,61,60,31
3.6453,59,60,31
3.662402,58,60,31
3.68009,57,60,31
3.698512,54,60,31
3.71436,63,60,31
3.731147,60,60,31
3.748181,59,60,31
3.764761,60,60,31
3.782778,56,60,31
3.800184,57,60,31
3.818685,54,59,31
3.833119,69,59,31
3.849125,62,60,31
3.86523,62,60,31
3.881214,63,60,31
3.898267,59,60,31
3.913395,66,60,31
3.930221,59,60,31
3.947098,59,60,31
3.964323,58,60,31
3.980465,62,60,31
3.996434,63,60,31
4.010911,69,60,31
4.027671,60,60,31
4.043521,63,60,31
4.059035,64,60,31
4.073009,72,60,31
4.096144,43,60,31
4.112458,61,60,31
4.12914,60,60,31
4.146298,58,60,31
4.162982,60,60,31
4.179785,60,60,31
4.194596,68,60,31
4.211216,60,60,31
4.227324,62,60,31
4.243546,62,60,31
4.259846,61,60,31
4.274047,70,60,31
4.290713,60,60,31
4.30674,62,60,31
4.323054,61,60,31
4.339006,63,60,31
4.353561,69,60,31
4.373214,51,60,31
4.389454,62,60,31
4.406949,57,60,31
4.423559,60,60,31
4.440813,58,60,31
4.457098,61,60,31
4.471374,70,60,31
4.487603,62,60,31
4.505323,56,60,31
4.524241,53,60,31
4.541018,60,60,31
4.559988,53,60,31
4.575605,64,60,31
4.599946,41,60,31
4.616844,59,60,31
4.634877,55,60,31
4.652691,56,60,31
4.670615,56,60,31
4.688812,55,60,31
4.70857,51,60,31
4.728092,51,60,31
4.745584,57,59,31
4.763544,56,59,31
4.783437,50,59,31
4.801567,55,59,31
4.820516,53,59,31
4.838147,57,59,31
4.853475,65,59,31
4.872142,54,59,31
4.890095,56,59,31
4.90868,54,59,31
4.927078,54,59,31
4.946043,53,59,31
4.963825,56,59,31
4.980974,58,59,31
4.997048,62,59,31
5.010831,73,59,31
5.028209,58,59,31
5.045563,58,59,31
5.063746,55,59,31
5.081891,55,59,31
5.105451,42,59,31
5.124921,51,59,31
5.141979,59,59,31
5.159191,58,59,31
5.173133,72,59,31
5.189111,63,59,31
5.205773,60,59,31
5.223631,56,59,31
5.240144,61,59,31
5.257859,56,59,31
5.276371,54,59,31
5.295749,52,59,31
5.314426,54,59,31
5.331688,58,59,31
5.348202,61,59,31
5.364903,60,59,31
5.38272,56,59,31
5.399985,58,59,31
5.414068,71,59,31
5.430848,60,59,31
5.447669,59,59,31
5.463623,63,59,31
5.48036,60,59,31
5.498382,55,59,31
5.514004,64,59,31
5.531854,56,59,31
5.548986,58,59,31
5.566573,57,59,31
5.584355,56,59,31
5.607868,43,59,30
5.627951,50,59,30
5.647087,52,59,30
5.665913,53,59,30
